,creation_date,product_item_sku_id,sales,base_price,list_price,sale_price,msrp,views,cart_quantity,base_price_change,is_holiday,day_of_week,week_of_month,month_of_year,days_till_black_friday,days_till_christmas,days_till_summer,days_till_winter,is_promotion,margin,product_item_sku_id_encoded
0,2020-08-02,FO-DMUN2Q,1,160.0,160.0,,160.0,0.0,0.0,True,0,6,1,8,114,145,303,121,0,0.0,0
1,2020-08-09,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,8,107,138,296,114,1,0.0,0
2,2020-08-16,FO-DMUN2Q,6,153.33333333333334,160.0,152.0,160.0,0.0,0.0,True,0,6,3,8,100,131,289,107,1,8.333333333333321,0
3,2020-08-23,FO-DMUN2Q,5,155.2,160.0,152.0,160.0,0.0,0.0,True,0,6,4,8,93,124,282,100,1,6.000000000000014,0
4,2020-08-30,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,5,8,86,117,275,93,1,0.0,0
5,2020-09-06,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,1,9,79,110,268,86,1,0.0,0
6,2020-09-13,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,9,72,103,261,79,1,0.0,0
7,2020-09-20,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,3,9,65,96,254,72,1,0.0,0
8,2020-09-27,FO-DMUN2Q,3,154.66666666666666,160.0,152.0,160.0,0.0,0.0,True,0,6,4,9,58,89,247,65,1,6.666666666666679,0
9,2020-10-04,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,1,10,51,82,240,58,1,0.0,0
10,2020-10-11,FO-DMUN2Q,5,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,10,44,75,233,51,1,0.0,0
11,2020-10-18,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,3,10,37,68,226,44,1,0.0,0
12,2020-10-25,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,4,10,30,61,219,37,1,0.0,0
13,2020-11-01,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,True,0,6,1,11,23,54,212,30,1,10.0,0
14,2020-11-08,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,11,16,47,205,23,1,10.0,0
15,2020-11-15,FO-DMUN2Q,2,156.0,160.0,152.0,160.0,0.0,0.0,True,0,6,3,11,9,40,198,16,1,5.0,0
16,2020-11-22,FO-DMUN2Q,5,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,4,11,2,33,191,9,1,0.0,0
17,2020-11-29,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,5,11,360,26,184,2,1,0.0,0
18,2020-12-06,FO-DMUN2Q,5,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,1,12,353,19,177,360,1,0.0,0
19,2020-12-13,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,True,0,6,2,12,346,12,170,353,1,10.0,0
20,2020-12-20,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,False,0,6,3,12,339,5,163,346,1,10.0,0
21,2020-12-27,FO-DMUN2Q,3,154.66666666666666,160.0,152.0,160.0,0.0,0.0,True,0,6,4,12,332,363,156,339,1,6.666666666666679,0
22,2021-01-03,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,1,1,325,356,149,332,1,0.0,0
23,2021-01-10,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,1,318,349,142,325,1,0.0,0
24,2021-01-17,FO-DMUN2Q,4,158.0,160.0,152.0,160.0,0.0,0.0,True,0,6,3,1,311,342,135,318,1,2.5,0
25,2021-01-24,FO-DMUN2Q,3,152.0,160.0,152.0,160.0,0.0,0.0,True,0,6,4,1,304,335,128,311,1,10.0,0
26,2021-01-31,FO-DMUN2Q,3,154.66666666666666,160.0,152.0,160.0,0.0,0.0,True,0,6,5,1,297,328,121,304,1,6.666666666666679,0
27,2021-02-07,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,1,2,290,321,114,297,1,0.0,0
28,2021-02-14,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,2,283,314,107,290,1,0.0,0
