creation_date,product_item_sku_id,sales,base_price,list_price,sale_price,msrp,views,cart_quantity,base_price_change,is_holiday,day_of_week,week_of_month,month_of_year,days_till_black_friday,days_till_christmas,days_till_summer,days_till_winter,is_promotion,margin
2020-08-02,FO-DMUN2Q,4,160.0,160.0,,160.0,0.0,0.0,True,0,6,1,8,114,145,303,121,0,0.0
2020-08-05,FO-DMUN2Q,0,160.0,160.0,,160.0,0.0,0.0,False,0,2,1,8,111,142,300,118,0,0.0
2020-08-08,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False,0,5,2,8,108,139,297,115,1,0.0
2020-08-11,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,True,0,1,2,8,105,136,294,112,1,10.0
2020-08-14,FO-DMUN2Q,3,152.0,160.0,152.0,160.0,0.0,0.0,False,0,4,2,8,102,133,291,109,1,10.0
2020-08-17,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,False,0,0,3,8,99,130,288,106,1,10.0
2020-08-20,FO-DMUN2Q,2,156.0,160.0,152.0,160.0,0.0,0.0,True,0,3,3,8,96,127,285,103,1,5.0
2020-08-23,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,4,8,93,124,282,100,1,0.0
2020-08-26,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,2,4,8,90,121,279,97,1,0.0
2020-08-29,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False,0,5,5,8,87,118,276,94,1,0.0
2020-09-01,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False,0,1,1,9,84,115,273,91,1,0.0
2020-09-04,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,4,1,9,81,112,270,88,1,0.0
2020-09-07,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False,1,0,1,9,78,109,267,85,1,0.0
2020-09-10,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,3,2,9,75,106,264,82,1,0.0
2020-09-13,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,2,9,72,103,261,79,1,0.0
2020-09-16,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,2,3,9,69,100,258,76,1,0.0
2020-09-19,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,5,3,9,66,97,255,73,1,0.0
2020-09-22,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,True,0,1,4,9,63,94,252,70,1,10.0
2020-09-25,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,True,0,4,4,9,60,91,249,67,1,0.0
2020-09-28,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,0,4,9,57,88,246,64,1,0.0
2020-10-01,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,3,1,10,54,85,243,61,1,0.0
2020-10-04,FO-DMUN2Q,5,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,1,10,51,82,240,58,1,0.0
2020-10-07,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,2,1,10,48,79,237,55,1,0.0
2020-10-10,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,5,2,10,45,76,234,52,1,0.0
2020-10-13,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,1,2,10,42,73,231,49,1,0.0
2020-10-16,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,4,3,10,39,70,228,46,1,0.0
2020-10-19,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,0,3,10,36,67,225,43,1,0.0
2020-10-22,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,3,4,10,33,64,222,40,1,0.0
2020-10-25,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,6,4,10,30,61,219,37,1,0.0
2020-10-28,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,2,4,10,27,58,216,34,1,0.0
2020-10-31,FO-DMUN2Q,3,152.0,160.0,152.0,160.0,0.0,0.0,True,0,5,5,10,24,55,213,31,1,10.0
2020-11-03,FO-DMUN2Q,0,152.0,160.0,152.0,160.0,0.0,0.0,False,0,1,1,11,21,52,210,28,1,10.0
2020-11-06,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,False,0,4,1,11,18,49,207,25,1,10.0
2020-11-09,FO-DMUN2Q,0,152.0,160.0,152.0,160.0,0.0,0.0,False,0,0,2,11,15,46,204,22,1,10.0
2020-11-12,FO-DMUN2Q,2,156.0,160.0,152.0,160.0,0.0,0.0,True,0,3,2,11,12,43,201,19,1,5.0
2020-11-15,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,True,0,6,3,11,9,40,198,16,1,0.0
2020-11-18,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,False,0,2,3,11,6,37,195,13,1,0.0
2020-11-21,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,5,3,11,3,34,192,10,1,0.0
2020-11-24,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False,0,1,4,11,0,31,189,7,1,0.0
2020-11-27,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,4,4,11,362,28,186,4,1,0.0
2020-11-30,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False,0,0,5,11,359,25,183,1,1,0.0
