creation_date,product_item_sku_id,sales,base_price,list_price,sale_price,msrp,views,cart_quantity,base_price_change
2020-08-02,FO-DMUN2Q,4,160.0,160.0,,160.0,0.0,0.0,True
2020-08-05,FO-DMUN2Q,0,160.0,160.0,,160.0,0.0,0.0,False
2020-08-08,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-08-11,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,True
2020-08-14,FO-DMUN2Q,3,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-08-17,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-08-20,FO-DMUN2Q,2,156.0,160.0,152.0,160.0,0.0,0.0,True
2020-08-23,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,True
2020-08-26,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-08-29,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-01,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-04,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-07,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-10,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-13,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-16,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-19,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-09-22,FO-DMUN2Q,2,152.0,160.0,152.0,160.0,0.0,0.0,True
2020-09-25,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,True
2020-09-28,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-01,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-04,FO-DMUN2Q,5,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-07,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-10,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-13,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-16,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-19,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-22,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-25,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-28,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-10-31,FO-DMUN2Q,3,152.0,160.0,152.0,160.0,0.0,0.0,True
2020-11-03,FO-DMUN2Q,0,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-11-06,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-11-09,FO-DMUN2Q,0,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-11-12,FO-DMUN2Q,2,156.0,160.0,152.0,160.0,0.0,0.0,True
2020-11-15,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,True
2020-11-18,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-11-21,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-11-24,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-11-27,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-11-30,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-03,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-06,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-09,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,True
2020-12-12,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-15,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-18,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-21,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-24,FO-DMUN2Q,2,156.0,160.0,152.0,160.0,0.0,0.0,True
2020-12-27,FO-DMUN2Q,0,156.0,160.0,152.0,160.0,0.0,0.0,False
2020-12-30,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,True
2021-01-02,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-01-05,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-01-08,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-01-11,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-01-14,FO-DMUN2Q,3,157.33333333333334,160.0,152.0,160.0,0.0,0.0,True
2021-01-17,FO-DMUN2Q,0,157.33333333333334,160.0,152.0,160.0,0.0,0.0,False
2021-01-20,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,True
2021-01-23,FO-DMUN2Q,3,152.0,160.0,152.0,160.0,0.0,0.0,False
2021-01-26,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,False
2021-01-29,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,True
2021-02-01,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-04,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-07,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-10,FO-DMUN2Q,0,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-13,FO-DMUN2Q,3,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-16,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-19,FO-DMUN2Q,1,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-22,FO-DMUN2Q,4,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-02-25,FO-DMUN2Q,3,157.33333333333334,160.0,152.0,160.0,0.0,0.0,True
2021-02-28,FO-DMUN2Q,1,152.0,160.0,152.0,160.0,0.0,0.0,True
2021-03-03,FO-DMUN2Q,0,152.0,160.0,152.0,160.0,0.0,0.0,False
2021-03-06,FO-DMUN2Q,0,152.0,160.0,152.0,160.0,0.0,0.0,False
2021-03-09,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,True
2021-03-12,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
2021-03-15,FO-DMUN2Q,2,160.0,160.0,152.0,160.0,0.0,0.0,False
